23,12/30/2012,Brisbane Australia ATP World Tour 250,HARD,2,Jurgen Melzer,David Goffin,Jurgen Melzer,6-4; 7-6(4),R16,88,7,2,50,76,37,50,16,26,2,2,11,53,76,6,4,45,71,33,45,15,26,3,4,11,48,71
24,12/30/2012,Brisbane Australia ATP World Tour 250,HARD,2,Grigor Dimitrov,Milos Raonic,Grigor Dimitrov,6-3; 6-4,R16,61,10,4,26,52,26,26,15,26,2,2,10,41,52,4,2,24,43,21,24,11,19,1,3,9,32,43
25,12/30/2012,Brisbane Australia ATP World Tour 250,HARD,2,Andy Murray,Denis Istomin,Andy Murray,6-4; 7-6(3),Q,97,4,2,46,71,38,46,16,25,2,2,11,54,71,7,1,39,70,27,39,19,31,0,1,11,46,70
26,12/30/2012,Brisbane Australia ATP World Tour 250,HARD,2,Kei Nishikori,Alexandr Dolgopolov,Kei Nishikori,6-4; 7-6(3),Q,87,5,0,39,63,31,39,16,24,2,3,11,47,63,4,0,43,72,29,43,18,29,2,4,11,47,72
27,12/30/2012,Brisbane Australia ATP World Tour 250,HARD,2,Marcos Baghdatis,Gilles Simon,Marcos Baghdatis,6-3; 6-4,Q,82,6,2,32,62,25,32,16,30,4,5,10,41,62,3,2,32,52,19,32,11,20,3,6,9,30,52
28,12/30/2012,Brisbane Australia ATP World Tour 250,HARD,2,Grigor Dimitrov,Jurgen Melzer,Grigor Dimitrov,6-3; 6-2,Q,59,17,1,39,62,33,39,11,23,4,4,9,44,62,5,2,32,40,17,32,4,8,0,3,8,21,40
29,12/30/2012,Brisbane Australia ATP World Tour 250,HARD,2,Andy Murray,Kei Nishikori,Andy Murray,6-4; 2-0 RET,S,45,4,1,21,30,17,21,5,9,1,2,6,22,30,1,0,18,34,10,18,7,16,2,5,6,17,34
30,12/30/2012,Brisbane Australia ATP World Tour 250,HARD,2,Grigor Dimitrov,Marcos Baghdatis,Grigor Dimitrov,6-3; 5-7; 7-6(5),S,149,12,3,72,113,57,72,21,41,7,9,17,78,113,4,3,69,113,53,69,21,44,6,8,16,74,113
31,12/30/2012,Brisbane Australia ATP World Tour 250,HARD,2,Andy Murray,Grigor Dimitrov,Andy Murray,7-6(0); 6-4,F,91,7,4,53,73,38,53,11,20,3,5,11,49,73,3,2,38,62,24,38,14,24,1,4,11,38,62
32,12/31/2012,Chennai India ATP World Tour 250,HARD,2,Tomas Berdych,N/A Bye,Tomas Berdych,,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,12/31/2012,Chennai India ATP World Tour 250,HARD,2,Somdev Devvarman,Jan Hajek,Somdev Devvarman,6-3; 6-3,R32,70,7,0,28,50,24,28,12,22,2,3,9,36,50,0,1,28,46,13,28,9,18,1,5,9,22,46
34,12/31/2012,Chennai India ATP World Tour 250,HARD,2,Roberto Bautista Agut,Blaz Kavcic,Roberto Bautista Agut,7-6(6); 6-2,R32,134,2,2,55,76,34,55,9,21,4,7,10,43,76,4,4,45,85,29,45,13,40,11,16,10,42,85
35,12/31/2012,Chennai India ATP World Tour 250,HARD,2,Matthias Bachinger,Yen-Hsun Lu,Matthias Bachinger,6-4; 3-6; 6-4,R32,129,6,7,62,100,40,62,21,38,10,12,15,61,100,7,2,50,82,38,50,18,32,6,8,14,56,82
36,12/31/2012,Chennai India ATP World Tour 250,HARD,2,Marin Cilic,N/A Bye,Marin Cilic,,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,12/31/2012,Chennai India ATP World Tour 250,HARD,2,Sergiy Stakhovsky,Ruben Bemelmans,Sergiy Stakhovsky,7-6(7); 7-6(5),R32,114,10,3,61,100,47,61,17,39,3,5,12,64,100,6,2,53,85,37,53,20,32,2,4,12,57,85
38,12/31/2012,Chennai India ATP World Tour 250,HARD,2,Dudi Sela,Rajeev Ram,Dudi Sela,6-4; 6-1,R32,64,2,2,33,53,26,33,10,20,2,3,9,36,53,2,1,26,46,15,26,11,20,4,8,8,26,46
39,12/31/2012,Chennai India ATP World Tour 250,HARD,2,Benoit Paire,Flavio Cipolla,Benoit Paire,6-3; 6-4,R32,78,6,4,33,67,27,33,14,34,2,3,10,41,67,2,2,41,57,26,41,7,16,3,6,9,33,57
40,12/31/2012,Chennai India ATP World Tour 250,HARD,2,Robin Haase,Yuki Bhambri,Robin Haase,7-5; 6-3,R32,85,4,3,50,68,39,50,10,18,4,4,11,49,68,8,3,39,58,27,39,9,19,5,7,10,36,58
41,12/31/2012,Chennai India ATP World Tour 250,HARD,2,Aljaz Bedene,Joao Sousa,Aljaz Bedene,6-3; 6-2,R32,74,6,2,34,52,27,34,11,18,1,1,8,38,52,0,2,37,58,16,37,14,21,3,7,9,30,58
42,12/31/2012,Chennai India ATP World Tour 250,HARD,2,Cedrik-Marcel Stebe,Igor Sijsling,Cedrik-Marcel Stebe,6-4; 6-4,R32,85,4,2,48,74,35,48,15,26,4,4,10,50,74,9,1,35,60,26,35,13,25,2,4,10,39,60
43,12/31/2012,Chennai India ATP World Tour 250,HARD,2,Stan Wawrinka,N/A Bye,Stan Wawrinka,,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,12/31/2012,Chennai India ATP World Tour 250,HARD,2,Go Soeda,Evgeny Donskoy,Go Soeda,6-1; 6-2,R32,59,1,1,20,45,16,20,17,25,2,2,8,33,45,5,3,18,37,12,18,5,19,0,4,7,17,37
45,12/31/2012,Chennai India ATP World Tour 250,HARD,2,Prakash Amritraj,Guillaume Rufin,Prakash Amritraj,6-7(4); 6-2; 6-3,R32,143,9,1,72,103,52,72,18,31,6,7,15,70,103,5,6,48,93,36,48,21,45,2,6,14,57,93
46,12/31/2012,Chennai India ATP World Tour 250,HARD,2,Edouard Roger-Vasselin,Andrey Kuznetsov,Edouard Roger-Vasselin,6-3; 6-4,R32,81,2,0,42,65,29,42,14,23,2,3,10,43,65,3,2,39,65,24,39,13,26,5,8,9,37,65
47,12/31/2012,Chennai India ATP World Tour 250,HARD,2,Janko Tipsarevic,N/A Bye,Janko Tipsarevic,,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,12/31/2012,Chennai India ATP World Tour 250,HARD,2,Tomas Berdych,Somdev Devvarman,Tomas Berdych,6-3; 6-1,R16,66,4,0,20,39,16,20,16,19,0,0,8,32,39,2,1,38,56,23,38,3,18,5,9,8,26,56
49,12/31/2012,Chennai India ATP World Tour 250,HARD,2,Roberto Bautista Agut,Matthias Bachinger,Roberto Bautista Agut,7-6(4); 6-3,R16,100,1,3,46,67,35,46,10,21,1,4,11,45,67,2,1,48,73,29,48,12,25,6,10,10,41,73
50,12/31/2012,Chennai India ATP World Tour 250,HARD,2,Marin Cilic,Sergiy Stakhovsky,Marin Cilic,4-6; 6-2; 6-3,R16,107,15,1,45,79,37,45,21,34,2,3,14,58,79,4,5,55,84,40,55,12,29,2,5,13,52,84
51,12/31/2012,Chennai India ATP World Tour 250,HARD,2,Benoit Paire,Dudi Sela,Benoit Paire,6-1; 6-0,R16,40,9,4,29,48,23,29,10,19,2,2,7,33,48,0,2,22,34,9,22,3,12,2,7,6,12,34
52,12/31/2012,Chennai India ATP World Tour 250,HARD,2,Aljaz Bedene,Robin Haase,Aljaz Bedene,7-5; 6-3,R16,80,4,1,34,53,29,34,12,19,0,1,11,41,53,5,2,41,62,27,41,8,21,2,5,10,35,62
